"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar a notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Você tem certeza?"
"Date Added","Data de Adição"
"Last Update","Última Atualização"
"Mark as Read","Marcar como Lida"
"Mark as read","Marcar como lida"
"Message","Mensagem"
"Messages Inbox","Caixa de Entrada de Mensagens"
"Notifications","Notificações"
"Please select messages.","Por favor selecione mensagens."
"Read Details","Ler Detalhes"
"Remove","Remover"
"Severity","Severidade"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi excluída."
"Total of %d record(s) have been marked as read.","Total de %d registros foram marcados como lido."
"Total of %d record(s) have been removed.","Total de %d registros foram removidos."
"Unable to proceed. Please, try again.","Não foi possível prosseguir. Por favor, tente novamente."
"Update Frequency","Frequência de Atualização"
"Use HTTPS to Get Feed","Usar HTTPS para Obter Feed"
"Wrong message type","Tipo de mensagem incorreto"
"critical","crítico"
"major","maior"
"minor","menor"
"notice","nota"
