" The customer does not exist in the system anymore."," O cliente não existe mais no sistema."
" [deleted]"," [excluído]"
" and "," e "
"%s (Default Template from Locale)","%s (Template Padrão do Idioma)"
"%s cache type(s) disabled.","%s tipo(s) de cache desabilitado(s)."
"%s cache type(s) enabled.","%s tipo(s) de cache habilitado(s)."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizado(s)."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para Tipo ""Servidor Local"" é necessário usar um caminho relativo para a instalação do Magento var/export ou var/import, ex. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para nomes de estados US com 2 letras)"
"(If left empty will be auto-generated)","(Se deixado em branco será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe em branco para a primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados nesta loja se a coluna 'store' estiver em branco ou faltando no arquivo de importação.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Começando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', somente os campos mapeados serão importados. Ao mapear, use 'coluna1', 'coluna2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você deve aumentar a váriavel do php memory_limit antes de alterar este valor)"
"(\\t for tab)","(\\t para tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Se a indexação estive em andamento, ela será abortada e um novo processo de indexação será iniciado."
"* Required Fields","* Campos Obrigatórios"
"- Click on any of the time parts to increase it","- Clique em uma das partes do horário para aumentar"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em um dos botões acima para uma seleção mais rápida."
"- Use the %s buttons to select month","- Use os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-Clique para reduzir"
"- or click and drag for faster selection.","- ou clicque e segure para uma seleção mais rápida."
"-- Not Selected --","-- Não Selecionado --"
"-- Please Select --","-- Por Favor Selecione --"
"-- Please Select Billing Agreement--","-- Por Favor Selecione Acordo de Cobrança --"
"-- Please Select a Category --","-- Por Favor Selecione uma Categoria --"
"-- Please select --","-- Por favor selecione --"
"--Please Select--","--Por Favor Selecione--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","Acumulado desde o ano passado"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erro 404</h1><p>Página não encontrada.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> tentativa de acesso à sua conta"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha é case sensitive."
"A user with the same user name or email aleady exists.","Um usuário com o mesmo nome de usuário ou email já existe."
"API Key","Chave API"
"API Key Confirmation","Confirmação da Chave API"
"ASCII","ASCII"
"Abandoned Carts","Carrinhos Abandondados"
"About the calendar","Sobre o calendário"
"Access Denied","Acesso Negado"
"Access denied","Acesso negado"
"Access denied.","Acesso negado."
"Account Created in:","Conta Criada em:"
"Account Created on (%s):","Conta Criada em (%s):"
"Account Created on:","Conta Criada em:"
"Account Information","Informação da Conta"
"Account Status","Status da Conta"
"Account status","Status da conta"
"Action","Ação"
"Actions","Ações"
"Actions XML","Ações XML"
"Active","Ativo"
"Add","Adicionar"
"Add Exception","Adicionar Exceção"
"Add Field Mapping","Adicionar Mapeamento de Campo"
"Add Field with URL:","Adicionar Campo com URL:"
"Add New","Adicionar Novo"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Adicionar Novo Perfil"
"Add New Role","Adicionar Novo Cargo"
"Add New Template","Adicionar Novo Template"
"Add New URL Rewrite","Adicionar Nova Reescrita de URL"
"Add New User","Adicionar Novo Usuário"
"Add New Variable","Adicionar Nova Variável"
"Add Products","Adicionar Produtos"
"Add URL Rewrite","Adicionar Reescrita de URL"
"Add URL Rewrite for a Category","Adicionar Reescrita de URL para uma Categoria"
"Add URL Rewrite for a Product","Adicionar Reescrita de URL para um Produto"
"Add after","Adicionar após"
"Additional Cache Management","Gerenciamento de Cache Adicional"
"Address Type:","Tipo do Endereço:"
"Admin","Admin"
"Advanced Admin Section","Seção Avançada de Administação"
"Advanced Profiles","Perfis Avançados"
"Advanced Section","Seção Avançada"
"After authorization application will have access to you account.","Após autorização a aplicação tera acesso à sua conta."
"All","Tudo"
"All Allowed Countries","Todos os Países Permitidos"
"All Cache","Todo Cache"
"All Files","Todos Arquivos"
"All Reviews","Todas Avaliações"
"All Store Views","Todas as Visões de Loja"
"All Tags","Todas Tags"
"All Websites","Todos Websites"
"All countries","Todos países"
"All fields","Todos campos"
"All possible rates were fetched, please click on ""Save"" to apply","Todas as tarifas possíveis foram obtidas, por favor clique em ""Salvar"" para aplicar"
"All rates were fetched, please click on ""Save"" to apply","Todas as tarifas foram obtidas, por favor clique em ""Salvar"" para aplicar"
"All valid rates have been saved.","Todas as tarífas válidas foram salvas."
"Always (during development)","Sempre (durante desenvolvimento)"
"Amounts","Quantidades"
"An error has occured while syncronizing media storages.","Ocorreu um erro ao sincronizar armazenamentos de media."
