"Access denied.","Acesso negado."
"Can not find webservice adapter.","Não foi possível encontrar adaptador de webservice."
"Client Session Timeout (sec.)","Tempo Limite da Sessão do Cliente (seg.)"
"Default Response Charset","Conjunto de Caracteres de Resposta Padrão"
"Email","Email"
"Enable WSDL Cache","Habilitar Cache WSDL"
"General Settings","Configurações Gerais"
"Invalid webservice adapter specified.","Adaptador de webservice especificado inválido."
"Invalid webservice handler specified.","Manipulador de webservice especificado inválido."
"Magento Core API","API Core do Magento"
"Magento Core API Section","Seção da API Core do Magento"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Cargos"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Usuários"
"Unable to login.","Não foi possível fazer login."
"User Name","Nome de Usuário"
"WS-I Compliance","Complacência WS-I"
"Web Services","Web Services"
"Your account has been deactivated.","Sua conta foi desativada."
