"Action","Ação"
"An error occurred while creating the backup.","Ocorreu um erro ao criar o backup."
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro ao escrever o arquivo de backup ""%s""."
"Are you sure you want to delete the selected backup(s)?","Você tem certeza que deseja excluir o(s) backup(s) selecionado(s)?"
"Backup Type","Tipo de Backup"
"Backup file ""%s"" cannot be read from or written to.","O arquivo de backup ""%s"" não pode ser lido ou escrito."
"Backup file ""%s"" does not exist.","O arquivo de backup ""%s"" não existe."
"Backup file does not exist.","O arquivo de backup não existe."
"Backup file handler was unspecified.","Manipulador de arquivo de backup não foi especificado."
"Backup file not found","O arquivo de backup não foi encontrado"
"Backup file path was not specified.","Caminho do arquivo de backup não foi especificado."
"Backups","Backups"
"Cannot read backup file.","Não foi possível ler o arquivo de backup."
"Create Backup","Criar Backup"
"Database","Banco de Dados"
"Database Backup","Backup de Banco de Dados"
"Database and Media","Banco de Dados e Media"
"Database and Media Backup","Backup de Banco de Dados e Media"
"Database was successfuly backed up.","O backup de Banco de Dados foi feito com sucesso."
"Download","Download"
"Enable Scheduled Backup","Habilitar Backup Agendado"
"Failed to connect to FTP","Falha ao conectar ao FTP"
"Failed to delete one or several backups.","Falha ao excluir um ou diversos backups."
"Failed to rollback","Falha ao tentar reverter."
"Failed to validate FTP","Falha ao validar o FTP"
"Frequency","Frequência"
"Invalid Password.","Senha Inválida."
"Maintenance Mode","Modo Manutenção"
"Name","Nome"
"Not enough free space to create backup.","Sem espaço livre suficiente para criar backup."
"Not enough permissions to create backup.","Sem permissões suficientes para criar backup."
"Not enough permissions to perform rollback","Sem permissões suficientes para realizar a reversão"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Por favor ou desmarque a opção ""Colocar a loja em modo manutenção"" ou atualize suas permissões para prosseguir com o backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Por favor ou desmarque a opção ""Colocar a loja em modo manutenção"" ou atualize suas permissões para prosseguir com a reversão."""
"Put store on the maintenance mode while backup's creation","Colocar a loja em modo manutenção durante a criação do backup"
"Rollback","Reversão"
"Scheduled Backup Settings","Configurações de Backup Agendado"
"Size, Bytes","Tamanho, Bytes"
"Start Time","Horário de Início"
"System","Sistema"
"System (excluding Media)","Sistema (excluindo Media)"
"System Backup","Backup do Sistema"
"System couldn't put store on the maintenance mode","O sistema não pôde colocar a loja em modo manutenção"
"The database and media backup has been created.","O backup de banco de dados e media foi criado."
"The database backup has been created.","O backup de banco de dados foi criado."
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo estava comprimido com Zlib, mas esta extensão não está instalada no servidor."
"The selected backup(s) has been deleted.","Os backups selecionados foram excluídos."
"The system (excluding Media) backup has been created.","O backup de sistema (exceto Media) foi criado."
"The system backup has been created.","O backup de sistema foi criado."
"Time","Horário"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar o backup. Por favor, tente novamente depois."
"Unable to save the cron expression.","Não foi possível salvar a expressão do cron."
"Wrong order of creation for new backup.","Ordem de criação de novo backup incorreta."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Você não tem permissões suficientes para habilitar o Modo Manutenção durante esta operação."
