"* Required Fields","* Campos Obrigatórios"
"-- Select --","-- Selecione --"
"Add New Option","Adicionar Nova Opção"
"Add Selection","Adicionar Seleção"
"As Low as","A Partir de"
"As low as","A partir de"
"Bundle Items","Itens Empacotados"
"Bundle Product","Produto Empacotado"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto cada"
"Catalog Product View (Bundle)","Visão de Produto do Catálogo (Empacotado)"
"Checkbox","Checkbox"
"Choose a selection...","Escolha uma seleção..."
"Close","Fechar"
"Default","Padrão"
"Default Qty","Qtd Padrão"
"Default Title","Título Padrão"
"Drop-down","Drop-down"
"Dynamic","Dinâmico"
"Excl. Tax","Imposto Excl."
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem de Presente"
"Incl. Tax","Imposto Incl."
"Input Type","Tipo do Campo"
"Is Required","É Obrigatório"
"Message:","Mensagem:"
"Multiple Select","Seleção Múltipla"
"N/A","N/D"
"No options of this product are available.","Nenhuma opção para este produto está disponível."
"None","Nenhum"
"Percent","Percentual"
"Percent Discount","Desconto Percentual"
"Please Select Products to Add","Por Favor Selecione os Produtos para Adicionar"
"Please enter a number greater 0 in this field.","Por favor digite um número maior que 0 neste campo."
"Please enter search conditions to view products.","Por favor digite as condições de pesquisa para exibir os produtos."
"Please select options for product.","Por favor selecione as opções para o produto."
"Please specify product option(s).","Por favor especifique as opções do produto."
"Position","Posição"
"Price Range","Faixa de Preço"
"Price Type","Tipo do Preço"
"Price as configured","Preço como configurado"
"Qty:","Qtd:"
"Radio Buttons","Botões Radio"
"Required options are not selected.","As opções obrigatórias não estão selecionadas."
"Selected required options are not available.","As opções obrigatórias selecionadas não estão disponíveis."
"Separately","Separadamente"
"Ship Bundle Items","Enviar Itens Empacotados"
"Shipment","Envio"
"Store View Title","Título da Visão de Loja"
"There is no defined renderer for ""%s"" option type.","Não há nenhum renderizador definito para o tipo de opção ""%s""."
"This product is also part of bundle(s)","Este produto é também parte do(s) pacote(s)"
"To","Até"
"To:","Para:"
"Together","Juntos"
"Use Default Value","Usar Valor Padrão"
"User Defined Qty","Qtd Definida pelo Usuário"
