"# of Use","# de Uso"
"%1$s incl tax.","%1$s de imposto incl."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s e acima"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Por Favor Selecione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não definido. Para atualizar instantaneamente, Limpe o Cache de Saída de Blocos HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Cuidado!</strong> Aplicando MAP por padrão irá ocultar todos os preços de produtos no frontend."
"A group with the same name already exists.","Um grupo com este mesmo nome já existe."
"A name is required","Um nome é obrigatório"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para o indexador."
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Ação"
"Actual Price","Preço Atual"
"Add","Adicionar"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar Mudança de Design"
"Add Group","Adicionar Grupo"
"Add Group Price","Adicionar Preço de Grupo"
"Add New","Adicionar Novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add New Set","Adicionar Novo Conjunto"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto para Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar Nível"
"Add attribute into attribute set","Adicionar atributo em conjunto de atributos"
"Add group into attribute set","Adicionar grupo em conjunto de atributos"
"Add new custom option into product","Adicionar nova opção personalizada em produto"
"Add new values into custom option","Adicionar novos valores em opção personalizada"
"Add option","Adicionar opção"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar à Comparação"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Information","Informação Adicional"
"Alert Urls","Urls de Alerta"
"All","Tudo"
"All Product Types","Todos os Tipos de Produto"
"All Websites","Todos Websites"
"All products","Todos produtos"
"All products - recently added products, New products - products marked as new","Todos produtos - produtos adicionados recentemente, Novos produtos - produtos marcados como novo"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste conjunto serão excluídos! Você tem certeza que deseja excluir este conjunto de atributos?"
"Allow All Products per Page","Permitir Todos Produtos por Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de Mídia Dinâmicas em Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"Allowed File Extensions","Extensões de Arquivo Permitidas"
"Allowed file extensions to upload","Extensões de arquivo permitidas para upload"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos para websites"
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparação."
"An error occurred while deleting this review.","Ocorreu um erro ao excluir esta avaliação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos de websites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salva a reescrita de URL"
"An error occurred while saving the attribute set.","Ocorreu um erro ao ao salvar o conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao ao salvar a coleção, abortando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while saving this review.","Ocorreu um erro ao salvar esta avaliação."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir esta categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos do(s) produto(s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar o status do(s) produto(s)."
"An invalid group ID is specified, skipping the record.","Um ID de grupo inválido foi especificado, pulando o registro."
