"%s was added to your shopping cart.","%s foi adicionado a seu carrinho de compras."
"%s was updated in your shopping cart.","%s foi atualizado em seu carrinho de compras."
"* Required Fields","* Campos Obrigatórios"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova Condição"
"Add coupon code for shopping cart","Adicionar código de cupom para carrinho de compras"
"Add gift messages to shopping cart","Adicionar mensagens de presente ao carrinho de compras"
"Add product to shopping cart","Adicionar produto ao carrinho de compras"
"Add product(s) to shopping cart","Adicionar produto(s) ao carrinho de compras"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar à Lista de Comparação"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Product Info","Informação Adicional do Produto"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After Adding a Product Redirect to Shopping Cart","Após Adicionar um Produto Redirecionar para o Carrinho de Compras"
"Allow Guest Checkout","Permitir Pedido de Visitante"
"Already registered?","Já está cadatrado?"
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao excluir esta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply Coupon","Aplicar Cupom"
"Are you sure you would like to remove this item from the shopping cart?","Você tem certeza que deseja remover este item do carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar para Informações de Cobrança"
"Back to Select Addresses","Voltar para a Seleção de Endereços"
"Back to Shipping Information","Voltar para Informações de Entrega"
"Back to Shopping Cart","Voltar para o Carrinho de Compras"
"Based on your selection, you may be interested in the following items:","Baseado em sua seleção, você pode estar interessado nos seguintes itens:"
"Billing Address","Endereço de Cobrança"
"Billing Information","Informação de Cobrança"
"Billing Information - %s","Informação de Cobrança - %s"
"Cancel Coupon","Cancelar Cupom"
"Cannot add item to the shopping cart.","Não é possível adicionar item ao carrinho de compras."
"Cannot add the item to shopping cart","Não é possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não é possível adicionar o item ao carrinho de compras."
"Cannot apply the coupon code.","Não é possível aplicar o código do cupom."
"Cannot configure product.","Não é possível configurar o produto."
"Cannot open the overview page","Não é possível abrir a página de resumo"
"Cannot process the item.","Não é possível processar o item."
"Cannot remove the item.","Não é possível remover o item."
"Cannot update shopping cart.","Não é possível atualizar o carrinho de compras."
"Cannot update the item.","Não é possível atualizar o item."
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Cart Product API","API de Produtos do Carrinho"
"Cart Subtotal:","Subtotal do Carrinho:"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de Cobrança"
"Checkbox Text","Texto da Checkbox"
"Checkout","Finalizar Compra"
"Checkout Conditions","Condições de Checkout"
"Checkout Method","Método de Checkout"
"Checkout Options","Opções de Checkout"
"Checkout Progress Wrapper","Agrupador do Progresso do Checkout"
"Checkout Section","Seção de Checkout"
"Checkout Terms and Conditions","Termos e Condições de Checkout"
"Checkout as Guest","Finalizar como Visitante"
"Checkout as a Guest or Register","Finalizar como Visitante ou Cadastrar"
"Checkout with Multiple Addresses","Finalizar com Múltiplos Endereços"
"City","Cidade"
"Clear Shopping Cart","Esvaziar Carrinho de Compras"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target='_blank'"">aqui para imprimir</a> uma cópia da sua confirmação de compra."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar comprando."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da Condição"
"Configurable Product Image","Imagem de Produto Configurável"
"Configure Cart Item","Configurar Item do Carrinho"
"Confirm Password","Confirmar Senha"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continuar Comprando"
"Continue to Billing Information","Continuar para Informações de Cobrança"
"Continue to Review Your Order","Continuar para Revisar Seu Pedido"
"Continue to Shipping Information","Continuar para Informação de Entrega"
"Country","País"
"Coupon code ""%s"" is not valid.","O código de cupom ""%s"" não é válido."
"Coupon code ""%s"" was applied.","O código de cupom ""%s"" foi aplicado."
"Coupon code was canceled.","O código do cupom foi cancelado."
"Create Billing Address","Criar Endereço de Cobrança"
"Create Shipping Address","Criar Endereço de Entrega"
"Create an order from shopping cart","Criar um pedido do carrinho de compras"
"Create shopping cart","Criar carrinho de compras"
"Customer Address is not valid.","O Endereço do Cliente não é válido."
"Customer Information","Informação do Cliente"
"Customer's information","Informação do cliente"
"Data saving problem","Problema salvando dados"
"Default Billing","Cobrança Padrão"
"Default Shipping","Entrega Padrão"
"Delete Condition","Excluir Condição"
"Details","Detalhes"
"Disabled","Desabilitado"
"Discount Codes","Códigos de Desconto"
"Display Cart Summary","Exibir Resumo do Carrinho"
"Display Shopping Cart Sidebar","Exibir Carrinho de Compras da Barra Lateral"
"Display item quantities","Exibir quantidades dos itens"
"Display number of items in cart","Exibir número de itens no carrinho"
"Display number of items in wishlist","Exibir número de itens na lista de desejos"
"Easy access to your order history and status","Acesso fácil ao seu histórico de compras e status"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Billing Address","Editar Endereço de Cobrança"
"Edit Condition","Editar Condição"
"Edit Items","Editar Itens"
"Edit Shipping Address","Editar Endereço de Entrega"
"Edit Terms and Conditions","Editar Termos e Condições"
"Edit Your Cart","Editar Seu Carrinho"
"Edit item","Editar item"
"Edit item parameters","Editar parâmetros do item"
"Email Address","Endereço de Email"
"Enable Onepage Checkout","Habilitar Finalização em Uma Página"
"Enable Terms and Conditions","Habilitar Termos e Condições"
"Enabled","Habilitado"
"Enter a New Address","Digite um Novo Endereço"
"Enter your coupon code if you have one.","Digite seu código de cupom se você possuir um."
"Enter your destination to get a shipping estimate.","Digite sua localização para obter uma estimativa de entrega."
"Estimate Shipping and Tax","Estimativa de Entrega e Imposto"
"Excl. Tax","Imposto Excl."
"Fast and easy check out","Finalização rápida e fácil"
"Fax","Fax"
"Forgot an Item?","Esqueceu um Item?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Obtenha uma Cotação"
"Get list of available payment methods","Obter lista de métodos de pagamento disponíveis"
"Get list of available shipping methods","Obter lista de métodos de envio disponíveis"
"Get list of products in shopping cart","Obter lista de produtos no carrinho de compras"
