"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe na loja selecionada."
"A directory with the same name already exists. Please try another folder name.","Um diretório com o mesmo nome já existe. Por favor tente um outro nome de pasta."
"A page URL key for specified store already exists.","Uma chave de URL de página para a loja especificada já existe."
"Action","Ação"
"Add New Block","Adicionar Novo Bloco"
"Add New Page","Adicionar Nova Página"
"All Countries","Todos os Países"
"An error occurred while saving the page.","Ocorreu um erro ao salvar a página."
"Anchor Custom Text","Texto Personalizado de Âncora"
"Anchor Custom Title","Tíiulo Personalizado de Âncora"
"Are you sure you want to delete current folder?","Você tem certeza que deseja excluir a pasta atual?"
"Are you sure you want to delete the selected file?","Você tem certeza que deseja excluir o arquivo selecionado?"
"Block","Bloco"
"Block Information","Informações do Bloco"
"Block Title","Título do Bloco"
"CMS","CMS"
"CMS Content Wrapper","Pacote de Conteúdo CMS"
"CMS Home Page","Página CMS Inicial"
"CMS No Cookies Page","Página CMS Sem Cookies"
"CMS No Route Page","Página CMS Sem Rotas"
"CMS No-Route Page","Página CMS Sem Rotas"
"CMS Page","Página CMS"
"CMS Page Link","Link de Página CMS"
"CMS Page Link Block Template","Template de Bloco de Link de Página CMS"
"CMS Page Link Inline Template","Template em Linha de Link de Página CMS"
"CMS Pages (All)","Páginas CMS (Todas)"
"CMS Static Block","Bloco Estático CMS"
"CMS Static Block Default Template","Template Padrão de Bloco Estático CMS"
"Cannot create new directory.","Não foi possível criar novo diretório."
"Cannot delete directory %s.","Não foi possível excluir o diretório %s."
"Cannot delete root directory %s.","Não foi possível excluir o diretório raiz %s."
"Cannot upload file.","Não foi possível enviar o arquivo."
"Collapse All","Recolher Tudo"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Content Management","Gerenciamento de Conteúdo"
"Contents of a Static Block","Conteúdos de um Bloco Estático"
"Create Folder...","Criar Pasta..."
"Custom Design","Design Personalizado"
"Custom Design From","Design Personalizado De"
"Custom Design To","Design Personalizado Até"
"Custom Layout","Layout Personalizado"
"Custom Layout Update XML","XML de Atualização de Layout Personalizado"
"Custom Theme","Tema Personalizado"
"Customer Tax Class Information","Informações de Classe de Impostos de Cliente"
"Date Created","Data de Criação"
"Delete Block","Excluir Bloco"
"Delete File","Excluir Arquivo"
"Delete Folder","Excluir Pasta"
"Delete Page","Excluir Página"
"Description","Descrição"
"Design","Design"
"Disabled","Desabilitado"
"Disabled Completely","Completamente Desabilitado"
"Disabled by Default","Desabilitado por Padrão"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enable WYSIWYG Editor","Habilitar Editor WYSIWYG"
"Enabled","Habilitado"
"Enabled by Default","Habilitado por Padrão"
"Expand All","Expandir Tudo"
"General Information","Informações Gerais"
"Go to Home Page","Ir para Página Inicial"
"Home","Início"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Se vazio, o Título da Página será usado"
"Images (%s)","Imagens (%s)"
"Insert File","Inserir Arquivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome de pasta inválido. Por favor, use caracteres alfanuméricos, sublinhados e traços."
"Keywords","Palavras-Chave"
"Last Modified","Última Modificação"
"Layout","Layout"
"Layout Update XML","XML de Atualização de Layout"
"Link to a CMS Page","Link para uma Página CMS"
"Manage Pages","Gerenciar Páginas"
"Media Gallery","Galeria de Mídia"
"Media Storage","Armazenamento de Mídia"
"Meta Data","Meta Dados"
"Meta Description","Descrição Meta"
"Meta Keywords","Palavras-Chave Meta"
"New Block","Novo Bloco"
"New Folder Name:","Novo Nome da Pasta:"
"New Page","Nova Página"
"No files found","Nenhum arquivo encontrado"
"Page Information","Informações da Página"
"Page Layout","Layout da Página"
"Page Status","Status da Página"
"Page Title","Título da Página"
"Pages","Páginas"
"Product Tax Class Information","Informação de Classe de Impostos de Produto"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para página CMS se Cookies estiverem Desabilitados"
"Relative to Website Base URL","Relativo a URL Base do Website"
"Save Block","Salvar Bloco"
"Save Page","Salvar Página"
"Save Process","Salvar Processo"
"Select Block...","Selecionar Bloco..."
"Select Page...","Selecionar Página..."
"Show Breadcrumbs for CMS Pages","Exibir Breadcrumbs para Páginas CMS"
"Show Notice if JavaScript is Disabled","Exibir Aviso se o JavaScript estiver Desabilitado"
"Static Blocks","Blocos Estáticos"
"Status","Status"
"Storage Root","Raíz do Armazenamento"
"Store View","Visão de Loja"
"Template","Template"
"The block has been deleted.","O bloco foi excluído."
"The block has been saved.","O bloco foi salvo."
"The directory %s is not writable by server.","O diretório %s não está gravável no servidor."
"The page URL key cannot consist only of numbers.","A chave de URL da página não pode conter somente números."
"The page URL key contains capital letters or disallowed symbols.","A chave de URL da página contem letras maiúsculas ou símbolos não permitidos."
"The page has been deleted.","A página foi excluída."
"The page has been saved.","A página foi salva."
"The static block content cannot contain  directive with its self.","O conteúdo do bloco estático não pode conter directiva com si próprio."
"This block no longer exists.","Este bloco não existe mais."
"This page no longer exists.","Esta página não existe mais."
"Title","Título"
"URL Key","Chave de URL"
"Unable to find a block to delete.","Não foi possível encontrar um bloco para excluir."
"Unable to find a page to delete.","Não foi possível encontrar uma página para excluir."
"WYSIWYG Options","Opções WYSIWYG"
"px.","px."
