"Collected Files Count","Contagem de Arquivos Coletados"
"Compilation","Compilação"
"Compilation State","Estado da Compilação"
"Compilation error","Erro na compilação"
"Compiled","Compilado"
"Compiled Scopes Count","Contagem de Escopos Compilados"
"Compiler Status","Status do Compilador"
"Compiler include path is disabled.","O caminho de inclusão do compilador está desabilitado."
"Compiler include path is enabled.","O caminho de inclusão do compilador está habilitado."
"Directory ""%s"" must be writeable","O diretório ""%s"" precisa ser gravável"
"Disable","Desabilitar"
"Disabled","Desabilitado"
"Enable","Habilitar"
"Enabled","Habilitado"
"File ""%s"" must be writeable","O arquivo ""%s"" precisa ser gravável"
"Not Compiled","Não Compilado"
"Run Compilation Process","Executar Processo de Compilação"
"Scopes Compilation Settings","Configurações de Compilação de Escopos"
"System","Sistema"
"The compilation has completed.","A compilação foi concluída."
"Tools","Ferramentas"
