"1.5.0.0 & later","1.5.0.0 & posterior"
"Action","Ação"
"Add Author","Adicionar Autor"
"Add Contents Path","Adicionar Caminho de Conteúdo"
"Add PHP Extension dependency","Adicionar dependência de Extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add files","Adicionar arquivos"
"Authors","Autores"
"Channel","Canal"
"Contents","Conteúdo"
"Create Extension Package","Criar Pacote de Extensão"
"Dependencies","Dependências"
"Description","Descrição"
"Edit Extension","Editar Extensão"
"Email","Email"
"Extension","Extensão"
"Extensions","Extensões"
"Failed to create the package.","Falah ao criar o pacote."
"Failed to load the package data.","Falha ao carregar os dados do pacote."
"Failed to save the package.","Falha ao salvar o pacote."
"Files","Arquivos"
"Folder","Pasta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licensa"
"License URI","URI da Licensa"
"Load Local Package","Carregar Pacote Local"
"Load local Package","Carregar Pacote local"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gerenciador Magento Connect"
"Max","Max"
"Maximum","Máximo"
"Min","Min"
"Minimum","Mínimo"
"Name","Nome"
"New Extension","Nova Extensão"
"PHP Version","Versão do PHP"
"Package","Pacote"
"Package Extensions","Extesões de Pacote"
"Package File Name","Nome do Arquivo do Pacote"
"Package Info","Informações do Pacote"
"Packages","Pacotes"
"Path","Caminho"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informações de Lançamento"
"Remove","Remover"
"Save As...","Salvar Como..."
"Save Data and Create Package","Salvar Dados e Criar Pacote"
"Save package with custom package file name","Salvar pacote com nome de arquivo de pacote personalizado"
"Summary","Resumo"
"Supported releases","Versões suportadas"
"System","Sistema"
"Target","Alvo"
"The package %s data has been loaded.","Os dados do pacote % foram carregados."
"The package data has been saved.","Os dados do pacote foram salvos."
"There was a problem saving package data","Occoreu um problema ao salvar os dados do pacote"
"Type","Tipo"
"User","Usuário"
