"* Required Fields","* Campos Obrigatórios"
"Comment","Comentário"
"Contact Form","Formulário de Contato"
"Contact Information","Informações de Contato"
"Contact Us","Fale Conosco"
"Contact Us Form","Formulário de Fale Conosco"
"Contacts","Contatos"
"Contacts Section","Seção de Contatos"
"Email","Email"
"Email Options","Opções de Email"
"Email Sender","Remetente de Email"
"Email Template","Template de Email"
"Enable Contact Us","Habilitar Fale Conosco"
"Name","Nome"
"Send Emails To","Enviar Emails Para"
"Submit","Enviar"
"Telephone","Telefone"
"Unable to submit your request. Please, try again later","Não foi possível enviar sua solicitação. Por favor, tente novamente mais tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Sua consulta foi enviada e será respondida o mais breve possível. Obrigado por entrar em contato conosco."
