"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --","-- Por Favor Selecione --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Atenção!</strong> Ao utilizar CDN, em alguns casos o JavaScript pode não funcionar corretamente se o CDN não estiver em seu subdomínio"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Atenção!</strong> Ao utilizar Código de Loja em URLs, em alguns casos o sistema pode não funcionar corretamente se URLs sem Códigos de Loja forem especificados em serviços de terceiros (por exemplo, PayPal, etc.)"
"A category object is required for determining the product request path.","Um objeto de categoria é necessário para determinar o caminho de solicitação do produto."
"Add Block Names to Hints","Adicionar Nomes de Blocos para Sugestões"
"Add Secret Key to URLs","Adicionar Chave Secreta para URLs"
"Add Store Code to Urls","Adicionar Código de Loja para URLs"
"Admin","Admin"
"Admin Base URL","URL Base de Admin"
"Admin User Emails","Emails de Usuário Admin"
"Advanced","Avançado"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Após selecionar uma nova localização de armazenamento de mídia, aperte o botão Sincronizar
                                para transferir toda mídia para aquela localização. A Mídia não estará disponível na nova
                                localização até que o processo de sincronização esteja concluído."
"Allow Countries","Países Permitidos"
"Allow Symlinks","Permitir Links Simbólicos"
"Allowed IPs (comma separated)","IPs Permitidos (separados por vírgula)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de arquivo permitidos: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nem todos os navegadores suportam todos esses formatos!"
"Allows customers to stay logged in when switching between different stores.","Permite que os clientes permaneçam logados ao alternar entre diferentes lojas."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link próximo no menu de paginação. Se vazio, a imagem de seta padrão será usada."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link anterior no menu de paginação. Se vazio, a imagem de seta padrão será usada."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao salvar. Por favor, revise o log de erro."
"Anchor Text for Next","Texto Âncora para Próximo"
"Anchor Text for Previous","Texto Âncora para Anterior"
"Anchor symbol (#) is not supported in request path","O símbolo de âncora (#) não é suportado no caminho solicitado"
"Anchor symbol (#) is not supported in url rewrite suffix","O símbolo de âncora (#) não é permitido no sufixo de reescrita de url"
"Are you sure?","Você tem certeza?"
"Auto-redirect to Base URL","Auto-redirecionar para a URL Base"
"Back","Voltar"
"Backup Options","Opções de Backup"
"Base JavaScript URL","URL Base do JavaScript"
"Base Link URL","URL Base de Link"
"Base Media URL","URL Base de Mídia"
"Base Secure URL","URL Base Segura"
"Base Skin URL","URL Base de Skin"
"Base URL","URL Base"
"Base Unsecure URL","URL Base Insegura"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar o código de visão de loja por favor certifique-se que ele não esteja sendo usado no arquivo index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar o código do website por favor certifique-se que ele não esteja sendo usado no arquivo index.php."
"Block with name ""%s"" already exists","O bloco com o nome ""%s"" já existe"
"Browser Capabilities Detection","Detecção de Recursos do Navegador"
"CSS Settings","Configurações de CSS"
"Cache Storage Management","Gerenciamento de Armazenamento de Cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","O armazenamento de cache pode conter dados adicionais. Tem certeza de que deseja liberá-lo?"
"Can not create invoice. Order was not found.","Não foi possível criar a fatura. O pedido não foi encontrado"
"Can't retrieve request object","Não foi possível recuperar objeto solicitado"
"Can\'t retrieve entity config: %s","Não foi possível recuperar a entidade de configuração: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Não é possível concluir esta operação a partir da área não-admin."
"Card type does not match credit card number.","Tipo de cartão não coincide com o número do cartão de crédito."
"Code","Código"
"Controller file was loaded but class does not exist","O arquivo do Controller foi carregado mas a classe não existe"
"Cookie Domain","Domínio do Cookie"
"Cookie Lifetime","Tempo de Vida do Cookie"
"Cookie Path","Caminho do Cookie"
"Cookie Restriction Mode","Modo de Restrição do Cookie"
"Copyright","Direitos Reservados"
"Core","Núcleo"
"Countries Options","Opções de Países"
"Country","País"
"Create Store","Criar Loja"
"Create Store View","Criar Visão de Loja"
"Create Website","Criar Website"
"Credit card number does not match credit card type.","Número do cartão de crédito não corresponde ao tipo de cartão de crédito."
"Current Package Name","Nome de Pacote Atual"
"Custom Admin Path","Caminho de Admin Personalizado"
"Custom Admin URL","URL de Admin Personalizado"
"Custom Design","Design Personalizado"
"Custom Email 1","Email Personalizado 1"
"Custom Email 2","Email Personalizado 2"
"Custom Variables","Variáveis Personalizadas"
"Custom1 Contact Email","Email de Contato Personalizado1"
"Custom1 Contact Name","Nome de Contato Personalizado1"
"Custom2 Contact Email","Email de Contato Personalizado2"
"Custom2 Contact Name","Nome de Contato Personalizado2"
"Customer Support","Suporte ao Cliente"
"Dashboard","Painel"
"Date From","A Partir da Data"
"Date To","Até a Data"
"Date/time format ""%s"" is not supported.","O formato de data/hora ""%s"" não é suportado."
"Debug","Depurar"
"Default","Padrão"
"Default Country","País Padrão"
"Default Description","Descrição Padrão"
"Default Keywords","Palavras-Chave Padrão"
"Default No-route URL","URL Sem-Rotas Padrão"
"Default Pages","Páginas Padrão"
"Default Robots","Robots Padrão"
"Default Store","Loja Padrão"
"Default Store View","Visão de Loja Padrão"
"Default Title","Título Padrão"
"Default Web URL","Web URL Padrão"
"Delete","Excluir"
"Delete Store","Excluir Loja"
"Delete Store View","Excluir Visão de Loja"
"Delete Website","Excluir Website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluindo um %1$s não irá exluir a informação associada com o %1$s (ex. categorias, produtos, etc.), mas o %1$s não poderá mais ser restaurado. É recomendável que você crie um backup do banco de dados antes de excluir o %1$s."
"Design","Design"
"Design Change","Mudança de Design"
"Developer","Desenvolvedor"
"Developer Client Restrictions","Restrições de Cliente Desenvolvendor"
"Disable Email Communications","Desabilitar Comunicações por Email"
"Disable Modules Output","Desabilitar Saída de Módulos"
"Display Demo Store Notice","Exibir Aviso de Loja de Demonstração"
"Duplicate Of Template Name","Duplicata de Nome do Template"
"Edit Design Change","Editar Mudança de Design"
"Edit Store","Editar Loja"
"Edit Store View","Editar Visão de Loja"
"Edit Website","Editar Website"
"Empty identifier field name","Nome do campo identificador vazio"
"Empty main table name","Nome da tabela principal vazio"
"Enable Charts","Habilitar Gráficos"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para a Administração"
"Enabled for Frontend","Habilitado para o Frontend"
"Environment Update Time","Tempo de Atualização do Ambiente"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"European Union Countries","Países da União Européia"
"Exceptions Log File Name","Nome do Arquivo de Log de Exceções"
"Favicon Icon","Ícone Favicon"
"File %s does not exist","Arquivo %s não existe"
"File %s is not readable","Arquivo %s não pode ser lido"
"File not found","Arquivo não encontrado"
"File system","Sistema de arquivos"
"File with an extension ""%value%"" is protected and cannot be uploaded","Arquivo com uma extensão ""%value%"" está protegido e não pode ser enviado"
"First Day of Week","Primeiro Dia da Semana"
"Flush Cache Storage","Liberar Armazenamento de Cache"
"Flush Magento Cache","Liberar Cache do Magento"
"Footer","Rodapé"
"Forgot Password Email Sender","Remetente do Email de Lembrete de Senha"
"Forgot Password Email Template","Template do Email de Lembrete de Senha"
"General","Geral"
"General Contact","Contato Geral"
"General Contact Email","Email de Contato Geral"
"General Contact Name","Nome de Contato Geral"
"General Settings","Configurações Gerais"
"Get info about current Magento installation","Obtenha informações sobre a instalação atual do Magento"
"Global","Global"
"HTML Head","Head HTML"
"HTML tags are not allowed","Tags HTML não são permitidas"
"Header","Cabeçalho"
"Host","Host"
"How many links to display at once.","Quantos links para exibir de uma vez."
"ID Path for Specified Store","ID do Caminho para Loja Específica"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição atual do quadro não cubrir o máximo de páginas, será renderizado um link para a posição atual mais/menos este valor."
"Incorrect credit card expiration date.","Data de expiração de cartão de crédito incorreta."
"Input type ""%value%"" not found in the input types list.","Tipo de campo ""%value%"" não encontrado na lista de tipos de campo."
"Invalid URL '%value%'.","URL inválida '%value%'."
"Invalid base url type","Tipo de url base inválido"
"Invalid block name to set child %s: %s","Nome de bloco inválido para definir filho %s: %s"
"Invalid block type: %s","Tipo de bloco inválido: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid connection","Conexão inválida"
"Invalid layout update handle","Controle de atualização de layout inválido"
"Invalid messages storage ""%s"" for layout messages initialization","Armazenamento de mensagens inválido ""%s"" para a inicialização de mensagens do layout"
"Invalid query","Consulta inválida"
"Invalid transactional email code: %s","Código de email transacional inválido: %s"
"Invalid website\'s configuration path: %s","Caminho de configuração de website inválido: %s"
"JavaScript Settings","Condigurações de JavaScript"
"Layout","Layout"
"Leave empty for access from any location.","Deixe em branco para acesso a partir de qualquer localização."
"List of stores","Lista de Lojas"
"Locale","Idioma"
"Locale Options","Opções de Idioma"
"Log Settings","Configurações de Log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Relatório usando Mage::log(). O arquivo está localizado em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Relatório usando Mage::logException(). O arquivo está localizado em {{base_dir}}/var/log"
"Login is Case Sensitive","O Login diferencia maiúsculas de minúsculas"
"Logo Image","Imagem de Logo"
"Logo Image Alt","Alt da Imagem de Logo"
"Logo Image Src","Src da Imagem de Logo"
"Magento info","Informções do Magento"
"Magento info API","API de informações do Magento"
"Mail Sending Settings","Configurações de Envio de Email"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Tenha certeza que a URL base finalize com '/' (barra), ex. http://seudominio/magento/"
"Manage Stores","Gerenciar Lojas"
"Match expressions in the same order as displayed in the configuration.","Coincidir expressões na mesma ordem que são exibidas na configuração."
"Media Storage","Armazenamento de Mídia"
"Merge CSS Files","Fundir Arquivos CSS"
"Merge JavaScript Files","Fundir Arquivos JavaScript"
"Miscellaneous HTML","HTML Diversos"
"Miscellaneous Scripts","Scripts Diversos"
"Model collection resource name is not defined.","O nome do recurso da coleção do modelo não está definido."
"Module ""%1$s"" cannot depend on ""%2$s"".","O módulo ""%1$s"" não pode depender de ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","O módulo ""%1$s"" requer o módulo ""%2$s""."
"Name","Nome"
"New Design Change","Nova Mudança de Design"
"New Store","Nova Loja"
"New Store View","Nova Visão de Loja"
"New Website","Novo Website"
"No","Não"
"Offloader header","Cabeçalho descarregador"
"PHP SOAP extension is required.","A extensão PHP SOAP é requerida."
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Quadro de Paginação"
"Pagination Frame Skip","Salto de Quadro de Paginação"
"Parent directory does not exist: %s","Diretório pai não existe: %s"
"Path ""%value%"" is not available and cannot be used.","O caminho ""%value%"" não está disponível e não pode ser usado."
"Path ""%value%"" is protected and cannot be used.","O caminho ""%value%"" está protegido e não pode ser usado."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","O caminho ""%value%"" não pode incluir o diretório pai transversal (""../"", ""..\\)."""
"Please define flag code.","Por favor defina o código da bandeira."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor digite 6 ou mais caracteres. Espaços antes ou depois serão ignorados."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Por favor digite 7 ou mais caracteres. A senha deve conter caracteres numéricos e alfabéticos."
"Please enter a number 0 or greater in this field.","Por favor digite um número 0 ou maior neste campo."
"Please enter a number 1 or greater in this field.","Por favor digite um número 1 ou maior neste campo."
"Please enter a number greater than 0 in this field.","Por favor digite um número maior do que 0 neste campo."
"Please enter a number lower than 100.","Por favor digite um número menor que 100."
"Please enter a valid $ amount. For example $100.00.","Por favor digite um valor $ válido. Por exemplo $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor digite uma chave de URL válida. Por exemplo ""pagina-exemplo"", ""pagina-exemplo.html"" or ""outronivel/pagina-exemplo""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor digite uma URL válida. Por exemplo http://www.exemplo.com ou www.exemplo.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor digite uma URL válida. O protocol é obrigatório (http://, https:// ou ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor digite identificador XML válido. Por exemplo algumacoisa_1, bloco5, id-4."
"Please enter a valid credit card number.","Por favor digite um número de cartão de crédito válido."
"Please enter a valid credit card verification number.","Por favor digite um número de verificação de cartão de crédito válido."
"Please enter a valid date between %s and %s","Por favor digite uma data válida entre %s e %s"
"Please enter a valid date equal to or greater than %s","Por favor digite uma data válida igual ou maior que %s"
"Please enter a valid date less than or equal to %s","Por favor digite uma data válida menor ou igual a %s"
"Please enter a valid date.","Por favor digite uma data válida."
"Please enter a valid day (1-%d).","Por favor digite um dia válido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor digite um endereço de email válido. Por exemplo fulano@dominio.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Por favor digite um número de fax válido. Por exemplo (12) 3456-7890 ou 12-3456-7890."
"Please enter a valid full date","Por favor digite uma data completa válida"
"Please enter a valid month (1-12).","Por favor digite um mês válido (1-12)."
"Please enter a valid number in this field.","Por favor digite um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor digite um número de telefone válido. Por exemplo (12) 3456-7890 ou 12-3456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor digite um número de segurança social válido. Por exemplo 123-45-6789."
"Please enter a valid year (1900-%d).","Por favor digite um ano válido (1900-%d)."
"Please enter a valid zip code.","Por favor digite um código de cep válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor digite um código de cep válido. Por exemplo 90602 ou 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Por favor digite o número de emissão ou a data de início para o tipo de cartão switch/solo."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor insira um comprimento CSS válido. Por exemplo 100px ou 77pt ou 20em ou .5ex ou 50%."
"Please make sure your passwords match.","Por favor, certifique-se de suas senhas coincidem."
"Please select State/Province.","Por favor selecione o Estado/Província."
"Please select a file","Por favor selecione um arquivo"
"Please select an option.","Por favor selecione uma opção."
"Please select one of the above options.","Por favor selecione uma das opções acima."
"Please select one of the options.","Por favor selecione uma das opções."
"Please set available and/or protected paths list(s) before validation.","Por favor selecione defina lista(s) de caminhos disponíveis e/ou protegidos antes da validação."
"Please specify either a category or a product, or both.","Por favor, especifique uma categoria ou um produto, ou ambos."
"Please use letters only (a-z or A-Z) in this field.","Por favor use somente letras (a-z ou A-Z) neste campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor, use apenas números neste campo. Por favor, evite espaços ou outros caracteres, tais como pontos ou vírgulas."
