"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um nome de host DNS, porém não foi possível extrair a parte do TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um nome de host DNS, porém não não foi possível comparar o TLD contra uma lista conhecida"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um nome de host DNS, porém não foi possível comparar contra um esquema de nome de host para o TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um nome de host DNS, porém contem um traço numa posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um nome de host DNS, porém a notação punycode determinada não pode ser decodificada"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser um nome de rede local, porém nomes de rede local não são permitidos"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço de IP, porém endereços de IP não são permitidos"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido"
"* Required Fields","* Campos Obrigatórios"
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Painel da Conta"
"Account Information","Informações da Conta"
"Account Sharing Options","Opções de Compartilhamento de Conta"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","A confirmação da conta é necessária. Por favor, verifique seu email para o link de confirmação. Para reenviar e-mail de confirmação, por favor <a href=""%s"">clique aqui</a>."
"Action","Ação"
"Add New Address","Adicionar Novo Endereço"
"Add New Customer","Adicionar Novo Cliente"
"Add New Customer Group","Adicionar Novo Grupo de Clientes"
"Added From","Adicionados A Partir"
"Additional Address Entries","Entradas de Endereços Adicionais"
"Address","Endereço"
"Address Book","Catálogo de Endereços"
"Address Books","Catálogos de Endereços"
"Address Information","Informações de Endereço"
"Address Templates","Templates de Endereço"
"Addresses","Endereços"
"Admin","Administração"
"All","Tudo"
"All Store Views","Todas as Visões de Loja"
"All countries","Todos os países"
"Always optional.","Sempre opcional."
"Amount","Quantidade"
"An error occurred while deleting the address.","Ocorreu um erro ao excluir o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao recuperar o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido está especificado para %s (%s), ignorando o registro."
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Você tem certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Você tem certeza que quer cancelar a adição deste endereço?"
"Are you sure you want to delete this address?","Você tem certeza que deseja excluir este endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected.","Array de coleções de Entidade é esperada."
"Assign a Customer Group","Atribuir um Grupo de Clientes"
"Average Sale","Média de Venda"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - link para a página exibida anteriormente"
"Back to Login","Voltar para o Login"
"Bad request.","Solicitação incorreta."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Baseado no VAT ID, o cliente deveria pertencer ao Grupo de Cliente %s."
"Bill to Name","Nome para Cobrança"
"Bought From","Comprado De"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta em nossa loja, você será capaz finalizar a compra mais rapidamente, armazenar múltiplos endereços de entrega, ver e rastrear seus pedidos em sua conta e muito mais."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save a new password.","Não foi possível salvar uma nova senha."
"Cannot save address.","Não foi possível salva o endereço."
"Cannot save the customer.","Não foi possível salvar o cliente."
