"Add","Adicionar"
"Add New Row","Adicionar Nova Linha"
"Add links and samples to downloadable product","Adicionar links e exemplos para o produto digital"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Caracteres alfanuméricos, traço e sublinhado são recomendados para nomes de arquivo. Caracteres impróprios são substituídos por '_'."
"An error occurred while getting the requested content.","Ocorreu um erro ao obter o conteúdo solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo solicitado. Entre em contato com o proprietário da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao salvar o(s) arquivo(s)."
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Não foi possível conectar ao servidor remoto, erro: %s."
"Catalog Product View (Downloadable)","Visão de Produto do Catálogo (Digital)"
"Category API","API de Categorias"
"Customer My Account Downloadable Items","Cliente Minha Conta Itens Digitais"
"Date","Data"
"Default Link Title","Título Padrão de Link"
"Default Maximum Number of Downloads","Número Máximo de Downloads Padrão"
"Default Sample Title","Título de Exemplo Padrão"
"Delete","Excluir"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desabilitar Checkout de Visitantes se o Carrinho Conter Itens Digitais"
"Downloadable Information","Informações Digitais"
"Downloadable Product","Produto Digital"
"Downloadable Product Options","Opções de Produto Digital"
"Downloadable Product Section","Seção de Produto Digital"
"Edit","Editar"
"Edit item parameters","Editar parâmetros do item"
"Excl. Tax","Imposto Excl."
"File","Arquivo"
"From:","De:"
"Gift Message","Mensagem de Presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">Meus Produtos Digitais</a>"
"Guest checkout will only work with shareable.","Checkout de visitantes só funcionará com compartilhável."
"In stock","Em estoque"
"Incl. Tax","Imposto Incl."
"Invalid download URL host.","Servidor da URL de download inválido."
"Invalid download URL scheme.","Esquema de URL de download inválido."
"Invalid download link type.","Tipo de link de download inválido."
"Invoiced","Faturado"
"Links can be purchased separately","Links podem ser adquiridos separadamente"
"List","Lista"
"Max. Downloads","Max. de Downloads"
"Message:","Mensagem:"
"Move","Mover"
"My Downloadable Products","Meus Produtos Digitais"
"Open Links in New Window","Abrir Links em Nova Janela"
"Order #","Pedido #"
"Order Item Status to Enable Downloads","Status do Item do Pedido para Habilitar Downloads"
"Order id cannot be null","Id do pedido não pode ser null"
"Order item id cannot be null","Id do item do pedido não pode ser null"
"Ordered","Comprado"
"Out of stock","Fora de estoque"
"Pending","Pendente"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Por favor faça login para fazer download do seu produto ou comprar <a href=""%s"">%s</a>."
"Please log in to download your product.","Por favor faça login para fazer download do seu produto."
"Please set resource file and link type.","Por favor defina o arquivo e o tipo do link."
"Please specify product link(s).","Por favor especifique o(s) link(s) do produto."
"Price","Preço"
"Product downloadable links","Links para produtos digitais"
"Qty","Qtd"
"Refunded","Reembolsado"
"Remaining Downloads","Downloads Restantes"
"Remove","Remover"
"Remove Item","Remover Item"
"Remove links and samples from downloadable product","Remover links e exemplos do produto digital"
"Requested link does not exist.","O link solicitado não existe."
"Retrieve links and samples list from downloadable product","Obter links e lista de amostras do produto digital"
"Sample","Exemplo"
"See price before order confirmation.","Veja o preço antes da confirmação do pedido."
"Shareable","Compartilhável"
"Shipped","Enviado"
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpe, ocorreu um erro ao obter o conteúdo solicitado. Por favor entre em contato com o proprietário da loja."
"Sort Order","Ordem de Classificação"
"Start Download","Iniciar Download"
"Status","Status"
"The file does not exist.","O arquivo não existe."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Há arquivos que foram selecionados, mas não enviados ainda. Por favor, faça o upload ou remova-os primeiro"
"Title","Título"
"To:","Por:"
"U","U"
"Unlimited","Ilimitado"
"Use config","Usar configuração"
"Use Content-Disposition","Usar Content-Disposition"
"Use Default Value","Usar Valor Padrão"
"View Order","Exibir Pedido"
"What's this?","O que é isto?"
"You have not purchased any downloadable products yet.","Você ainda não adquiriu nenhum produto digital."
"attachment","anexo"
"download","download"
"inline","em linha"
"sample","exemplo"
