"""%s"" contains not only digit characters.","""%s"" não contém somente dígitos."
"""%s"" does not fit the entered date format.","""%s"" não se encaixa no formato de data digitado."
"""%s"" exceeds the allowed file size.","""%s"" excede o tamanho de arquivo permitido."
"""%s"" exceeds the allowed length.","""%s"" excede o comprimento permitido."
"""%s"" has not only alphabetic and digit characters.","""%s"" não contém apenas caracteres alfabéticos e dígitos."
"""%s"" has not only alphabetic characters.","""%s"" não contém apenas caracteres alfabéticos."
"""%s"" height exceeds allowed value of %s px.","A altura de ""%s"" excede o valor permitido de %s px."
"""%s"" invalid type entered.","Tipo ""%s"" inválido digitado."
"""%s"" is a required value.","""%s"" é um valor obrigatório."
"""%s"" is an empty string.","""%s"" é uma string vazia."
"""%s"" is not a valid URL.","""%s"" não é uma URL válida."
"""%s"" is not a valid date.","""%s"" não é uma data válida."
"""%s"" is not a valid email address.","""%s"" não é um endereço de email válido."
"""%s"" is not a valid file","""%s"" não é um arquivo válido"
"""%s"" is not a valid file extension.","""%s"" não é uma extensão de arquivo válida."
"""%s"" is not a valid file.","""%s"" não é um arquivo válido."
"""%s"" is not a valid hostname.","""%s"" não é um nome de host válido."
"""%s"" is not a valid image format","""%s"" não é um formato de imagem válido"
"""%s"" length must be equal or greater than %s characters.","O comprimento de ""%s"" deve ser igual ou maior que %s caracteres."
"""%s"" length must be equal or less than %s characters.","O comprimento de ""%s"" deve ser igual ou menor que %s caracteres."
"""%s"" width exceeds allowed value of %s px.","A largura de ""%s"" excede o valor permitido de %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um nome de host DNS mas não foi possível extrair a parte TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um nome de host DNS mas não foi possível comparar o TLD com uma lista conhecida"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um nome de host DNS mas não foi possível comparar com um esquema de nome de host para o TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um nome de host DNS mas contém um traço em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um nome de host DNS mas a notação de punycode fornecida não pôde ser decodificada"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser um nome de rede local, mas os nomes de rede local não são permitidos"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço IP, mas os endereços IP não são permitidos"
"'%value%' does not appear to be a valid URI hostname","'%value%' não parece ser um nome de host URI válido"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' não coincide com a estrutura esperada para um nome de host DNS"
"A joint field with this alias (%s) is already declared","Um campo em conjunto com este alias (%s) já está declarado"
"Add Option","Adicionar Opção"
"An error occurred while loading a record, aborting. Error: %s","Ocorreu um erro ao carregar o registro, abortando. Erro: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ocorreu um erro ao carregar a coleção, abortando. Erro: %s"
"An error occurred while saving a record, aborting. Error: ","Ocorreu um erro ao salvar o registro, abortando. Erro: "
"Attempt to add an invalid object","Tentativa de adicionar um objeto inválido"
"Attribute '%s' used in configurable products","Atributo '%s' usado em produtos configuráveis"
"Attribute Code","Código do Atributo"
"Attribute Label","Etiqueta do Atributo"
"Attribute Properties","Propriedades do Atributo"
"Attribute object is undefined","Objeto de atributo está indefinido"
"Attribute set with the ""%s"" name already exists.","Conjunto de atributos com o nome ""%s"" já existe."
"Attribute with the same code","Atributo com o mesmo código"
"Can\'t create table: %s","Não é possível criar a tabela: %s"
"Catalog Input Type for Store Owner","Tipo de Entrada do Catálogo para Proprietário de Loja"
"Current module EAV entity is undefined","Módulo atual EAV entity está indefinido"
"Current module pathname is undefined","Módulo atual pathname está indefinido"
"Data integrity: No header row found for attribute","Integridade de dados: Nenhuma linha de cabeçalho encontrada para o atributo"
"Date","Data"
"Decimal Number","Número Decimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Ordenação da Listagem de Produtos Padrão não existe nas Ordenações da Listagem de Produtos Disponíveis."
"Default Value","Valor Padrão"
"Default option value is not defined","Valor da opção padrão não está definido"
"Delete","Excluir"
"Dropdown","Dropdown"
"Email","Email"
"Entity collection expected.","Coleção de entidade esperada."
"Entity collections expected.","Coleções de entidade esperada."
"Entity instance is not defined","Instância de entidade não está definido"
"Entity is not initialized","Entidade não está inicializada."
