"An error occurred while clearing the external full page cache.","Ocorreu um erro ao limpar o cache externo de página inteira."
"Cookie Lifetime (seconds)","Tempo de Vida do Cookie (segundos)"
"Enable External Cache","Habilitar Cache Externo"
"External Cache Control","Controle de Cache Externo"
"External Full Page Cache Settings","Configurações de Cache Externo de Página Inteira"
"External full page cache.","Cache externo de página inteira."
"Failed to load external cache control","Falha ao carregar o controle de cache externo"
"Flush External Page Cache","Liberar Cache Externo de Página"
"If empty, default value will be used.","Se vazio, o valor padrão será usado."
"The external full page cache has been cleaned.","O cache externo de página inteira foi limpo."
"Zend Full Page Cache","Cache de Página Inteira Zend"
