"""%s"" coupon code is not valid.","O código de cupon ""%s"" não é válido."
"%s","%s"
"%s / %s rate:","taxa %s / %s:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","%s pedido(s) não pode ser cancelado(s)"
"%s order(s) have been canceled.","%s pedido(s) foram cancelado(s)."
"%s order(s) have been put on hold.","%s pedido(s) foram colocado(s) como retido(s)."
"%s order(s) have been released from holding status.","%s pedido(s) foram liberados do status retido."
"%s order(s) were not put on hold.","%s pedido(s) não foram colocado(s) como retido(s)."
"%s order(s) were not released from holding status.","%s pedido(s) não foram liberados do status retido."
"* - Enter custom price excluding tax","* - Digite o preço personalizado excluindo impostos"
"* - Enter custom price including tax","* - Digite o preço personalizado incluindo impostos"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Por Favor Selecione --"
"-- Please Select Billing Agreement--","-- Por Favor Selecione o Acordo de Cobrança --"
"About This Order:","Sobre Este Pedido:"
"About This Profile:","Sobre Este Perfil:"
"About Your Invoice","Sobre Sua Fatura"
"About Your Order","Sobre Seu Pedido"
"About Your Refund","Sobre Seu Reembolso"
"About Your Shipment","Sobre Sua Entrega"
"Accept Payment","Aceitar Pagamento"
"Accept or Deny Payment","Aceitar ou Negar Pagamento"
"Account Information","Informações da Conta"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add New Address","Adicionar Novo Endereço"
"Add Order Comments","Adicionar Comentários ao Pedido"
"Add Package","Adicionar Pacote"
"Add Products","Adicionar Produtos"
"Add Selected Product(s) to Option","Adicionar Produto(s) Selecionado(s) à Opção"
"Add Selected Product(s) to Order","Adicionar Produto(s) Selecionado(s) ao Pedido"
"Add Selected Product(s) to Package","Adicionar Produto(s) Selecionado(s) ao Pacote"
"Add To Order","Adicionar Ao Pedido"
"Add Tracking Number","Adicionar Número de Rastreamento"
"Add comment to order","Adicionar comentário ao pedido"
"Add new comment to credit memo","Adicionar novo comentário ao memorando de crédito"
"Add new comment to shipment","Adicionar novo comentário à entrega"
"Add new tracking number","Adicionar novo número de rastreamento"
"Add to Cart","Adicionar ao Carrinho"
"Additional Product Info","Informação Adicional do Produto"
"Address","Endereço"
"Address model is not defined.","O modelo de endereço não está definido."
"Adjustment Fee","Taxa de Ajuste"
"Adjustment Refund","Reembolso de Ajuste"
"Agreement Information","Informações do Acordo"
"Allow Reorder","Permitir Refazer Pedido"
"Amount","Quantidade"
"Amount: %s.","Quantidade: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao atribuir o status do pedido. O Status não foi atribuído."
"An error occurred while creating shipping label.","Ocorreu um erro ao criar a etiqueta de entrega."
"An error occurred while saving order status. The status has not been added.","Ocorreu um erro ao salvar o status do pedido. O status não foi adicionado."
"An error occurred while unassigning order status.","Ocorreu um erro ao desatribuir o status do pedido."
"An error occurred while updating the order address. The address has not been changed.","Ocorreu um erro durante a atualização do endereço do pedido. O endereço não foi alterado."
"An item option with code %s already exists.","Uma opção de item com o código %s já existe."
"Anchor Custom Title","Título Personalizado de Âncora"
"Append Comments","Acrescentar Comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Código de Cupom"
"Approved the payment online.","Aprovado o pagamento online."
"Are you sure you want to accept this payment?","Você tem certeza que deseja aceitar este pagamento?"
"Are you sure you want to cancel this order?","Você tem certeza que deseja cancelar este pedido?"
"Are you sure you want to delete all items from shopping cart?","Você tem certeza de que deseja excluir todos os itens do carrinho de compras?"
"Are you sure you want to deny this payment?","Você tem certeza que deseja negar esse pagamento?"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isso?"
"Are you sure you want to send Creditmemo email to customer?","Você tem certeza de que deseja enviar um email de Memorando de Crédito para o cliente?"
"Are you sure you want to send Invoice email to customer?","Você tem certeza que deseja enviar um email de Fatura para o cliente?"
"Are you sure you want to send Shipment email to customer?","Você tem certeza que deseja enviar um email de Entrega para o cliente?"
"Are you sure you want to send order email to customer?","Você tem certeza que deseja enviar um email do pedido para o cliente?"
"Are you sure you want to void the payment?","Você tem certeza que deseja anular o pagamento?"
"Are you sure?","Você tem certeza?"
"Are you sure? This order will be canceled and a new one will be created instead","Você tem certeza? Este pedido será cancelado e um novo será criado no lugar"
"Assign Order Status to State","Atribuir Status do Pedido para um Estado"
"Assign Status to State","Atribuir Status para um Estado"
"Assignment Information","Informações de Atribuição"
"At least a payment ID must be set.","Pelo menos um ID de pagamento deve ser definido."
"Authorization","Autorização"
"Authorized amount of %s.","Quantidade autorizada de %s."
"Authorizing amount of %s is pending approval on gateway.","Quantidade para autorizar de %s está pendente de aprovação no gateway."
"Back","Voltar"
"Back to Billing Agreements","Voltar para Acordos de Cobrança"
"Back to My Orders","Voltar para Meus Pedidos"
"Back to Recurring Profiles","Voltar para Perfis Recorrentes"
"Backordered","Devolvido"
"Bestsellers","Mais Vendidos"
"Bill to Name","Nome para Cobrança"
"Billing","Cobrança"
"Billing Address","Endereço de Cobrança"
"Billing Agreement","Acordo de Cobrança"
"Billing Agreement # %s","Acordo de Cobrança # %s"
"Billing Agreement #%s","Acordo de Cobrança #%s"
"Billing Agreement View","Visão de Acordo de Cobrança"
"Billing Agreements","Acordos de Cobrança"
"Billing Last Name","Último Nome de Cobrança"
"Billing ZIP Code","CEP de Cobrança"
"Buy %s for price %s","Comprar %s pelo preço %s"
"CSV","CSV"
"Cancel","Cancelar"
"Cancel credit memo","Cancelar memorando de crédito"
"Cancel invoice","Cancelar fatura"
"Cancel order","Cancelar pedido"
"Canceled","Cancelado"
"Canceled order offline.","Pedido cancelado offline."
"Canceled order online.","Pedido cancelado online."
"Cannot add order history.","Não é possível adicionar histórico de pedidos."
"Cannot create an empty shipment.","Não é possível criar uma entrega vazia."
"Cannot determine the field name.","Não é possível determinar o nome do campo."
"Cannot do invoice for order.","Não é possível fazer o faturamento para o pedido."
"Cannot do shipment for order.","Não é possível fazer a entrega para o pedido."
"Cannot get order instance","Não foi possível obter a instância do pedido"
"Cannot get the order instance.","Não foi possível obter a instância do pedido."
"Cannot register an existing credit memo.","Não é possível registrar um memorando de crédito existente."
"Cannot register existing invoice","Não é possível registrar uma fatura existente"
"Cannot register existing shipment","Não é possível registrar uma entrega existente"
"Capture","Capturar"
"Capture Amount","Quantidade à Capturar"
"Capture Offline","Capturar Offline"
"Capture Online","Capturar Online"
"Capture invoice","Capturar fatura"
"Captured amount of %s online.","Capturou a quantidade de %s online."
"Capturing amount of %s is pending approval on gateway.","A quantidade à capturar de %s está pendente de aprovação no gateway."
"Carrier","Transportadora"
"Carrier/Method","Transportadora/Método"
"Change status, add comments","Alterar status, adicionar comentários"
"Changing address information will not recalculate shipping, tax or other order amount.","Alterar as informações de endereço não irá recalcular o envio, imposto ou outro valor do pedido."
"Checkout Totals Sort Order","Ordem de Classificação dos Totais do Checkout"
"City","Cidade"
"Clear Shopping Cart","Limpar Carrinho de Compras"
"Click to change shipping method","Clique para alterar o método de entrega"
"Close","Fechar"
"Closed","Fechado"
"Comma-separated.","Separados por vírgula."
"Comment","Comentário"
"Comment Text","Texto do Comentário"
"Comments","Comentários"
"Comments History","Histórico de Comentários"
"Company","Empresa"
"Complete","Completo"
"Configure","Configurar"
"Configure and Add to Order","Configurar e Adicionar ao Pedido"
"Contents","Conteúdo"
"Continue","Continuar"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","Controla se o IP do cliente é mostrado nos pedidos, faturas, entregas, memorandos de crédito."
"Country","País"
"Coupons","Cupons"
"Create","Criar"
"Create New Customer","Criar Novo Cliente"
"Create New Order","Criar Novo Pedido"
"Create New Order Status","Criar Novo Status de Pedido"
"Create New Order for %s","Criar Novo Pedido para %s"
"Create New Order for %s in %s","Criar Novo Pedido para %s em %s"
"Create New Order for New Customer","Criar Novo Pedido para Novo Cliente"
"Create New Order for New Customer in %s","Criar Novo Pedido para Novo Cliente em %s"
"Create New Status","Criar Novo Status"
"Create Packages","Criar Pacotes"
"Create Shipment","Criar Entrega"
"Create Shipping Label","Criar Etiqueta de Entrega"
"Create Shipping Label...","Criar Etiqueta de Entrega..."
"Create new credit memo for order","Criar novo memorando de crédito para o pedido"
"Create new invoice for order","Criar nova fatura para o pedido"
