"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço do Carrinho de Compras baseadas no atributo ""%s"" foram desabilitadas."
"%s Coupon(s) have been generated","%s Cupons foram gerados"
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","Ocorreu um erro ao gerar cupons. Por favor, verifique o log e tente novamente."
"Apply","Aplicar"
"Apply To","Aplicar Para"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem atendidas (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente à itens do carrinho que coincidam com as seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos itens do carrinho que atendam às seguintes condições"
"Apply to Shipping Amount","Aplicar ao Valor de Entrega"
"Are you sure you want to delete the selected coupon(s)?","Você tem certeza que deseja excluir os cupons selecionados?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Códigos de Cupons Específicos Gerados Automaticamente"
"Buy X get Y free (discount amount is Y)","Compre X ganhe Y grátis (quantidade de desconto é Y)"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentual"
"Can\'t acquire coupon.","Não é possível adquirir cupons."
"Cart Attribute","Atributo do Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do Código"
"Code Length","Cumprimento do Código"
"Code Prefix","Prefixo do Código"
"Code Suffix","Sufixo do Código"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupom"
"Coupon Code","Código de Cupom"
"Coupon Qty","Qtd de Cupons"
"Coupon with the same code","Cupom com o mesmo código"
"Coupons Information","Informações de Cupons"
"Created On","Criado Em"
"Customer Groups","Grupos de Clientes"
"Dash Every X Characters","Traço Cada X Caracteres"
"Date Expire","Data de Vencimento"
"Date Start","Data de Início"
"Default Label","Etiqueta Padrão"
"Default Rule Label for All Store Views","Etiqueta de Regra Padrão para Todas as Visões de Loja"
"Description","Descrição"
"Discount Amount","Valor de Desconto"
"Discount Qty Step (Buy X)","Etapa de Qtd de Desconto (Compre X)"
"Edit Rule","Editar Regra"
