"All Websites","Todos Websites"
"Apply Discounts To FPT","Aplicar Descontos Para FPT"
"Apply Tax To FPT","Aplicar Imposto Para FPT"
"Display Prices In Emails","Exibir Preços Nos Emails"
"Display Prices In Product Lists","Exibir Preços Nas Listas de Produtos"
"Display Prices In Sales Modules","Exibir Preços Nos Módulos de Vendas"
"Display Prices On Product View Page","Exibir Preços Na Página de Visualização do Produto"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluindo FPT"
"Excluding FPT, FPT description, final price","Excluindo FPT, descrição FPT, preço final"
"Fixed Product Tax","Imposto Fixo do Produto"
"Fixed Product Taxes","Impostos Fixos do Produto"
"Include FPT In Subtotal","Incluir FPT No Subtotal"
"Including FPT and FPT description","Incluindo FPT e descrição FPT"
"Including FPT and FPT description [incl. FPT VAT]","Incluindo FPT e descrição FPT [incl. VAT FPT]"
"Including FPT only","Incluindo FPT somente"
"Total","Total"
"Total Incl. Tax","Total Imposto Incl."
"Total excl. tax","Total excl. tax"
"Total incl. tax","Total imposto incl."
