"%s","%s"
"-- Please Select --","-- Por Favor Selecione --"
"Actions","Ações"
"Add Layout Update","Adicionar Atualização de Layout"
"Add New Widget Instance","Adicionar Nova Instância Widget"
"All","Tudo"
"All Pages","Todas as Páginas"
"All Product Types","Todos os Tipos de Produto"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Anchor Categories","Categorias Âncora"
"Apply","Aplicar"
"Assign to Store Views","Vincular à Visões de Loja"
"Big Image","Imagem Grande"
"Block Reference","Referência de Bloco"
"CMS","CMS"
"Categories","Categorias"
"Choose...","Escolha..."
"Close","Fechar"
"Continue","Continuar"
"Default Template","Template Padrão"
"Delete","Excluir"
"Design Package/Theme","Pacote de Design/Tema"
"Export to:","Exportar para:"
"Frontend Properties","Propriedades do Frontend"
"Generic Pages","Páginas Genéricas"
"Images","Imagens"
"Insert Widget","Inserir Widget"
"Insert Widget...","Inserir Widget..."
"Layout Updates","Atualizações de Layout"
"Manage Widget Instances","Gerenciar Instâncias de Widget"
"New Instance","Nova Instância"
"New Widget Instance","Nova Instância de Widget"
"Next page","Próxima página"
"Non-Anchor Categories","Categorias Não-Âncora"
"Not Selected","Não Selecionado"
"Open Chooser","Abrir Seletor"
"Page","Página"
"Please Select Block Reference First","Por Favor Selecione a Referência de Bloco Primeiro"
"Previous page","Página anterior"
"Products","Produtos"
"Remove Layout Update","Remover Atualização de Layout"
"Save and Continue Edit","Salvar e Continuar Editando"
"Select All","Selecionar Todos"
"Select Visible","Selecionar Visíveis"
"Settings","Configuações"
"Sort Order","Ordem de Classificação"
"Sort Order of widget instances in the same block reference","Ordem de Classificação de instâncias de widget na mesma referência de bloco"
"Specific %s","Específico %s"
"Specified Page","Página Especificada"
"Template","Template"
"The information in this tab has been changed.","As informações contidas neste guia foram alteradas."
"The widget instance has been deleted.","A instância de widget foi excluída."
"The widget instance has been saved.","A instância de widget foi salva."
"This tab contains invalid data. Please solve the problem before saving.","Este guia contèm dados inválidos. Por favor resolva o problema antes de salvar."
"Thumbnail","Miniatura"
"Total %d records found","Total de %d registros encontrados"
"Type","Tipo"
"Unselect All","Desmarcar Todos"
"Unselect Visible","Desmarcar Visíveis"
"View","Exibir"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID do Widget"
"Widget Insertion","Inclusão de Widget"
"Widget Instance","Instância de Widget"
"Widget Instance Title","Título de Instância de Widget"
"Widget Options","Opções do Widget"
"Widget Type","Tipo do Widget"
"Widget Type is not specified","Tipo do Widget não está especificado"
"Widget instance is not full complete to create.","Instância do Widget não está inteiramente completa para criar."
"Widgets","Widgets"
"Wrong widget instance specified.","Instância de widget especificada incorreta."
"items selected","itens selecionados"
"of %s pages","de %s páginas"
"per page","por página"
